"question","answer"
"Get cost for a specific billing subaccount type for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_type:<billing-subaccount-type>'`"
"Get cost for a specific billing subaccount parent ID for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_id:<billing-subaccount-parent-id>'`"
"Get cost for a specific billing subaccount parent name for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_name:<billing-subaccount-parent-name>'`"
"Get cost for a specific billing subaccount parent type for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_type:<billing-subaccount-parent-type>'`"
"Get cost for a specific billing subaccount parent status for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_status:<billing-subaccount-parent-status>'`"
"Get cost for a specific billing subaccount parent creation time for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_creation_time:<billing-subaccount-parent-creation-time>'`"
"Get cost for a specific billing subaccount parent update time for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_update_time:<billing-subaccount-parent-update-time>'`"
"Get cost for a specific billing subaccount parent parent ID for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_parent_id:<billing-subaccount-parent-parent-id>'`"
"Get cost for a specific billing subaccount parent parent name for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_parent_name:<billing-subaccount-parent-parent-name>'`"
"Get cost for a specific billing subaccount parent parent type for the last month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date -d 'last month' +%Y-%m-01) --end-date=$(date -d 'last month' +%Y-%m-%d) --filter='billing_subaccount_parent_parent_type:<billing-subaccount-parent-parent-type>'`"
"Get a cost breakdown by project for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=project_id`"
"Get a cost breakdown by service for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=service_id`"
"Get a cost breakdown by region for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=location`"
"Get a cost breakdown by label for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=labels`"
"Get a cost breakdown by SKU for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=sku_id`"
"Get a cost breakdown by resource type for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=resource_type`"
"Get a cost breakdown by resource name for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=resource_name`"
"Get a cost breakdown by credit type for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=credit_type`"
"Get a cost breakdown by invoice ID for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=invoice_id`"
"Get a cost breakdown by currency for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=currency`"
"Get a cost breakdown by usage type for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=usage_type`"
"Get a cost breakdown by usage unit for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=usage_unit`"
"Get a cost breakdown by project ID for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=project_id`"
"Get a cost breakdown by project number for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=project_number`"
"Get a cost breakdown by billing account ID for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_account_id`"
"Get a cost breakdown by billing subaccount ID for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_id`"
"Get a cost breakdown by billing subaccount name for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_name`"
"Get a cost breakdown by billing account name for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_account_name`"
"Get a cost breakdown by billing account type for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_account_type`"
"Get a cost breakdown by billing account status for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_account_status`"
"Get a cost breakdown by billing account creation time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_account_creation_time`"
"Get a cost breakdown by billing account update time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_account_update_time`"
"Get a cost breakdown by billing subaccount creation time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_creation_time`"
"Get a cost breakdown by billing subaccount update time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_update_time`"
"Get a cost breakdown by billing subaccount status for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_status`"
"Get a cost breakdown by billing subaccount type for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_type`"
"Get a cost breakdown by billing subaccount parent ID for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_id`"
"Get a cost breakdown by billing subaccount parent name for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_name`"
"Get a cost breakdown by billing subaccount parent type for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_type`"
"Get a cost breakdown by billing subaccount parent status for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_status`"
"Get a cost breakdown by billing subaccount parent creation time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_creation_time`"
"Get a cost breakdown by billing subaccount parent update time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_update_time`"
"Get a cost breakdown by billing subaccount parent parent ID for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_parent_id`"
"Get a cost breakdown by billing subaccount parent parent name for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_parent_name`"
"Get a cost breakdown by billing subaccount parent parent type for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_parent_type`"
"Get a cost breakdown by billing subaccount parent parent status for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_parent_status`"
"Get a cost breakdown by billing subaccount parent parent creation time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_parent_creation_time`"
"Get a cost breakdown by billing subaccount parent parent update time for the current month.","`gcloud billing accounts get-cost-usage --billing-account=<billing-account-id> --start-date=$(date +%Y-%m-01) --end-date=$(date +%Y-%m-%d) --group-by=billing_subaccount_parent_parent_update_time`"
"Get cost recommendations for Compute Engine.","`gcloud recommender recommendations list --location=<region> --recommender=google.compute.instance.MachineTypeRecommender --project=<project-id>`"
"Get cost recommendations for Cloud SQL.","`gcloud recommender recommendations list --location=<region> --recommender=google.cloudsql.instance.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Storage.","`gcloud recommender recommendations list --location=<region> --recommender=google.storage.bucket.LifecycleRecommender --project=<project-id>`"
"Get cost recommendations for BigQuery.","`gcloud recommender recommendations list --location=<region> --recommender=google.bigquery.table.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Kubernetes Engine.","`gcloud recommender recommendations list --location=<region> --recommender=google.gke.node.IdleNodeRecommender --project=<project-id>`"
"Get cost recommendations for Pub/Sub.","`gcloud recommender recommendations list --location=<region> --recommender=google.pubsub.topic.IdleTopicRecommender --project=<project-id>`"
"Get cost recommendations for Spanner.","`gcloud recommender recommendations list --location=<region> --recommender=google.spanner.instance.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Dataproc.","`gcloud recommender recommendations list --location=<region> --recommender=google.dataproc.cluster.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Dataflow.","`gcloud recommender recommendations list --location=<region> --recommender=google.dataflow.job.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Functions.","`gcloud recommender recommendations list --location=<region> --recommender=google.cloudfunctions.function.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Run.","`gcloud recommender recommendations list --location=<region> --recommender=google.cloudrun.service.IdleRecommender --project=<project-id>`"
"Get cost recommendations for App Engine.","`gcloud recommender recommendations list --location=<region> --recommender=google.appengine.service.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Composer.","`gcloud recommender recommendations list --location=<region> --recommender=google.composer.environment.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Memorystore.","`gcloud recommender recommendations list --location=<region> --recommender=google.redis.instance.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Filestore.","`gcloud recommender recommendations list --location=<region> --recommender=google.filestore.instance.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud DNS.","`gcloud recommender recommendations list --location=<region> --recommender=google.dns.managedzone.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Load Balancing.","`gcloud recommender recommendations list --location=<region> --recommender=google.loadbalancing.forwardingrule.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud NAT.","`gcloud recommender recommendations list --location=<region> --recommender=google.nat.gateway.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud VPN.","`gcloud recommender recommendations list --location=<region> --recommender=google.vpn.tunnel.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Interconnect.","`gcloud recommender recommendations list --location=<region> --recommender=google.interconnect.attachment.IdleRecommender --project=<project-id>`"
"Get cost recommendations for Cloud Router.","`gcloud recommender recommendations list --location=<region> --recomm
"List all Cloud SQL instances in a project.","`gcloud sql instances list --project=<project-id>`"
"Describe a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id>`"
"Create a Cloud SQL instance (MySQL).","`gcloud sql instances create <instance-name> --database-version=MYSQL_8_0 --region=<region> --project=<project-id>`"
"Create a Cloud SQL instance (PostgreSQL).","`gcloud sql instances create <instance-name> --database-version=POSTGRES_14 --region=<region> --project=<project-id>`"
"Create a Cloud SQL instance (SQL Server).","`gcloud sql instances create <instance-name> --database-version=SQLSERVER_2019_STANDARD --region=<region> --project=<project-id>`"
"Delete a Cloud SQL instance.","`gcloud sql instances delete <instance-name> --project=<project-id>`"
"Update a Cloud SQL instance's settings.","`gcloud sql instances patch <instance-name> --project=<project-id> --database-flags=max_connections=500`"
"Restart a Cloud SQL instance.","`gcloud sql instances restart <instance-name> --project=<project-id>`"
"Stop a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --project=<project-id> --activation-policy=NEVER`"
"Start a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --project=<project-id> --activation-policy=ALWAYS`"
"Export data from a Cloud SQL instance to Cloud Storage.","`gcloud sql export sql <instance-name> gs://<bucket-name>/<file-name>.sql --project=<project-id>`"
"Import data into a Cloud SQL instance from Cloud Storage.","`gcloud sql import sql <instance-name> gs://<bucket-name>/<file-name>.sql --project=<project-id>`"
"Create a Cloud SQL read replica.","`gcloud sql instances create <replica-name> --master-instance-name=<master-instance-name> --region=<region> --replica --project=<project-id>`"
"Promote a Cloud SQL read replica to a standalone instance.","`gcloud sql instances promote-replica <replica-name> --project=<project-id>`"
"Create a Cloud SQL backup.","`gcloud sql backups create --instance=<instance-name> --project=<project-id>`"
"List Cloud SQL backups.","`gcloud sql backups list --instance=<instance-name> --project=<project-id>`"
"Restore a Cloud SQL instance from a backup.","`gcloud sql instances restore-backup <instance-name> --backup-id=<backup-id> --project=<project-id>`"
"Create a Cloud SQL database.","`gcloud sql databases create <database-name> --instance=<instance-name> --project=<project-id>`"
"List Cloud SQL databases.","`gcloud sql databases list --instance=<instance-name> --project=<project-id>`"
"Delete a Cloud SQL database.","`gcloud sql databases delete <database-name> --instance=<instance-name> --project=<project-id>`"
"Create a Cloud SQL user.","`gcloud sql users create <user-name> --instance=<instance-name> --password=<password> --project=<project-id>`"
"List Cloud SQL users.","`gcloud sql users list --instance=<instance-name> --project=<project-id>`"
"Delete a Cloud SQL user.","`gcloud sql users delete <user-name> --instance=<instance-name> --project=<project-id>`"
"Reset a Cloud SQL user's password.","`gcloud sql users set-password <user-name> --instance=<instance-name> --password=<new-password> --project=<project-id>`"
"Enable automatic backups for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --backup-start-time=00:00 --project=<project-id>`"
"Disable automatic backups for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --no-backup --project=<project-id>`"
"Enable high availability for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --availability-type=REGIONAL --project=<project-id>`"
"Disable high availability for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --availability-type=ZONAL --project=<project-id>`"
"Enable point-in-time recovery for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --recovery-window-days=7 --project=<project-id>`"
"Disable point-in-time recovery for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --recovery-window-days=0 --project=<project-id>`"
"Enable public IP for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --assign-ip --project=<project-id>`"
"Disable public IP for a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --no-assign-ip --project=<project-id>`"
"Add an authorized network to a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --authorized-networks=<network-cidr> --project=<project-id>`"
"Remove an authorized network from a Cloud SQL instance.","`gcloud sql instances patch <instance-name> --remove-authorized-networks=<network-cidr> --project=<project-id>`"
"List authorized networks for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.ipConfiguration.authorizedNetworks)'`"
"Get the connection name for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(connectionName)'`"
"Get the IP address for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(ipAddresses)'`"
"Get the database version for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(databaseVersion)'`"
"Get the region for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(region)'`"
"Get the activation policy for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.activationPolicy)'`"
"Get the availability type for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.availabilityType)'`"
"Get the backup configuration for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.backupConfiguration)'`"
"Get the database flags for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.databaseFlags)'`"
"Get the maintenance window for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.maintenanceWindow)'`"
"Get the pricing plan for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.tier)'`"
"Get the disk size for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.dataDiskSizeGb)'`"
"Get the disk type for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.dataDiskType)'`"
"Get the machine type for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(settings.tier)'`"
"Get the root password for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(rootPassword)'`"
"Get the replica configuration for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(replicaConfiguration)'`"
"Get the failover replica configuration for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(failoverReplica.name)'`"
"Get the failover replica region for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(failoverReplica.region)'`"
"Get the failover replica status for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(failoverReplica.status)'`"
"Get the failover replica settings for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(failoverReplica.settings)'`"
"Get the failover replica activation policy for a Cloud SQL instance.","`gcloud sql instances describe <instance-name> --project=<project-id> --format='value(failoverReplica.settings.activationPolicy)'`"
