"question","answer"
"Pod Memory Request Usage","sum(kube_pod_container_resource_requests_memory_bytes{job=""kube-state-metrics""}) by (pod, namespace)"
"Container CPU Request Usage","sum(kube_pod_container_resource_requests_cpu_cores{job=""kube-state-metrics""}) by (pod, namespace)"
"Container CPU Limit Usage","sum(kube_pod_container_resource_limits_cpu_cores{job=""kube-state-metrics""}) by (pod, namespace)"
"Pod OOM (Out of Memory) Kills","sum(rate(container_memory_failures_total{job=""kubelet"", reason=""OOMKilled""}[5m])) by (pod, namespace)"
"Node Memory Swap Usage","node_memory_SwapTotal_bytes{job=""node-exporter""} - node_memory_SwapFree_bytes{job=""node-exporter""}"
"CPU Utilization across all nodes","(1 - avg(irate(node_cpu_seconds_total{mode=""idle""}[5m]))) * 100"
"Memory Usage across all nodes","(1 - (node_memory_MemAvailable_bytes / node_memory_MemTotal_bytes)) * 100"
"Root Filesystem Usage across all nodes","(1 - (node_filesystem_avail_bytes{mountpoint=""/""} / node_filesystem_size_bytes{mountpoint=""/""})) * 100"
"Incoming Network Traffic across all nodes","irate(node_network_receive_bytes_total[5m])"
"Outgoing Network Traffic across all nodes","irate(node_network_transmit_bytes_total[5m])"
"Disk Read Bytes per device across all nodes","sum(rate(node_disk_read_bytes_total[1m])) by (device)"
"Disk Write Bytes per device across all nodes","sum(rate(node_disk_written_bytes_total[1m])) by (device)"
"System CPU Utilization across all nodes","sum by (instance) (rate(node_cpu_seconds_total{mode!=""idle""}[1m])) / count by (instance) (node_cpu_seconds_total{mode=""system""})"
"Average Load across all nodes","sum(node_load1) / count(node_cpu_seconds_total)"
"Node Kernel Version","(node_uname_info)"
"CPU Usage per Pod","sum(rate(container_cpu_usage_seconds_total{container!=""""}[5m])) by (pod)"
"Memory Usage per Pod","sum(container_memory_usage_bytes{container!=""""}) by (pod)"
"Restart Count for all pods","kube_pod_container_status_restarts_total"
"Network Receive Bytes per second for each pod","sum(rate(container_network_receive_bytes_total{container!=""POD""}[1m])) by (pod)"
"Network Transmit Bytes per second for each pod","sum(rate(container_network_transmit_bytes_total{container!=""POD""}[1m])) by (pod)"
"Number of running containers per pod","sum by (pod) (kube_pod_container_status_running)"
"Number of waiting containers per pod","sum by (pod) (kube_pod_container_status_waiting)"
"Number of terminated containers per pod","sum by (pod) (kube_pod_container_status_terminated)"
"Filesystem usage per pod","sum(container_fs_usage_bytes{container!=""""}) by (pod)"
"CPU Throttle Time per pod","sum(rate(container_cpu_cfs_throttled_periods_total{container!=""""}[1m])) by (pod)"
"Desired vs. Available Replicas for all deployments","kube_deployment_status_replicas_available vs. kube_deployment_spec_replicas"
"ReplicaSet Rollout Status","kube_replicaset_status_replicas vs. kube_replicaset_spec_replicas"
"Recent Deployment Updates","changes(kube_deployment_status_replicas_updated[15m]) > 0"
"Deployment Age","time() - kube_deployment_created"
"ReplicaSet Age","time() - kube_replicaset_created"
"Average Unavailable Replicas across all deployments","avg(kube_deployment_status_replicas_unavailable)"
"Deployment Labels","kube_deployment_labels"
"ReplicaSet Labels","kube_replicaset_labels"
"Number of deployments per namespace","count by (namespace) (kube_deployment_metadata_generation)"
"Number of replicasets per namespace","count by (namespace) (kube_replicaset_metadata_generation)"
"95th percentile Service Request Latency","histogram_quantile(0.95, sum(rate(container_http_requests_duration_seconds_total_bucket{}[5m])) by (le, destination_workload_name))"
"Service Errors with 5xx status codes","sum(rate(container_http_requests_total{status=~""4..|5..""}[5m])) by (destination_workload_name)"
"Requests per Service and Response Code","sum(rate(container_http_requests_total{status=~""4..|5..""}[5m])) by (destination_workload_name, status)"
"Total Requests per Service","sum(rate(container_http_requests_total{}[1m])) by (destination_workload_name)"
"Services with Available Endpoints and External IPs","kube_endpoint_address_available AND kube_service_spec_external_ip"
"Number of Ready Nodes","sum(kube_node_status_condition{condition=""Ready"",status=""true""})"
"Number of Not Ready Nodes","sum(kube_node_status_condition{condition=""Ready"",status=""false""})"
"Number of Active Namespaces","sum(kube_namespace_status_phase{phase=""Active""})"
"Number of Terminating Namespaces","sum(kube_namespace_status_phase{phase=""Terminating""})"
"Number of Bound Persistent Volume Claims per Namespace","sum(kube_persistentvolumeclaim_status_phase{phase=""Bound""}) by (namespace)"
"Number of Available Persistent Volumes","sum(kube_persistentvolume_status_phase{phase=""Available""})"
"Desired Replicas across all Horizontal Pod Autoscalers","sum(kube_horizontalpodautoscaler_status_desired_replicas)"
"Maximum Replicas allowed across all Horizontal Pod Autoscalers","sum(kube_horizontalpodautoscaler_spec_max_replicas)"
"Number of Failed Jobs","sum(kube_job_status_failed)"
"Number of Succeeded Jobs","sum(kube_job_status_succeeded)"
"Top 5 slow apps by latency","topk(5, histogram_quantile(0.95, sum(rate(container_http_requests_duration_seconds_total_bucket{}[5m])) by (le, destination_workload_name, destination_workload_namespace)))"
"Top 5 apps with most errors","topk(5, sum(rate(container_http_requests_total{status=~""4..|5..""}[5m])) by (destination_workload_name, destination_workload_namespace)"
"HTTP API paths by request count"," sum(rate(container_http_requests_total{}[5m])) by (destination_workload_name, destination_workload_namespace, path)"
"99th Percentile Latency for Service X","histogram_quantile(0.99, sum(rate(container_http_requests_duration_seconds_total_bucket{destination_workload_name=""ServiceX""}[5m])) by (le))"
"95th Percentile Request Duration for API Path /api/v1/users","histogram_quantile(0.95, sum(rate(container_http_requests_duration_seconds_total_bucket{path=""/api/v1/users""}[5m])) by (le))"
"CPU Usage per Namespace","sum(rate(container_cpu_usage_seconds_total{job=""kubelet"", image!="""", namespace=~"".+""}[5m])) by (namespace)"
"Memory Usage per Namespace","sum(container_memory_usage_bytes{job=""kubelet"", image!="""", namespace=~"".+""}) by (namespace)"
"Pod Restarts per Namespace","sum(rate(kube_pod_container_status_restarts_total{job=""kube-state-metrics""}[5m])) by (namespace)"
"Running Pods per Node","count(kube_pod_info{node=~"".+""}) by (node)"
"Pods in Pending State","count(kube_pod_status_phase{job=""kube-state-metrics"", phase=""Pending""}) by (namespace)"
"Pods in Failed State","count(kube_pod_status_phase{job=""kube-state-metrics"", phase=""Failed""}) by (namespace)"
"Pods in Running State","count(kube_pod_status_phase{job=""kube-state-metrics"", phase=""Running""}) by (namespace)"
"Container Restarts per Pod","sum(rate(kube_pod_container_status_restarts_total{job=""kube-state-metrics"", namespace=~"".+""}[5m])) by (namespace, pod)"
"Pod CPU Usage","sum(rate(container_cpu_usage_seconds_total{job=""kubelet"", image!="""", pod=~"".+""}[5m])) by (namespace, pod)"
"Pod Memory Usage","sum(container_memory_usage_bytes{job=""kubelet"", image!="""", pod=~"".+""}) by (namespace, pod)"
"Number of Running Pods per Namespace","count(kube_pod_info{namespace=~"".+"", pod=~"".+""}) by (namespace)"
"Number of Pods per Node","count(kube_pod_info{node!=""""}) by (node)"
"Pod Memory Limit Usage","sum(container_memory_working_set_bytes{job=""kubelet""}) by (pod, namespace)"
"Pod Memory Request Usage","sum(kube_pod_container_resource_requests_memory_bytes{job=""kube-state-metrics""}) by (pod, namespace)"
"Container CPU Request Usage","sum(kube_pod_container_resource_requests_cpu_cores{job=""kube-state-metrics""}) by (pod, namespace)"
"Container CPU Limit Usage","sum(kube_pod_container_resource_limits_cpu_cores{job=""kube-state-metrics""}) by (pod, namespace)"
"Pod OOM (Out of Memory) Kills","sum(rate(container_memory_failures_total{job=""kubelet"", reason=""OOMKilled""}[5m])) by (pod, namespace)"
"CPU Usage per Pod","sum(rate(container_cpu_usage_seconds_total{container!=""""}[5m])) by (pod)"
"Memory Usage per Pod","sum(container_memory_usage_bytes{container!=""""}) by (pod)"
"Restart Count for all pods","kube_pod_container_status_restarts_total"
"Network Receive Bytes per second for each pod","sum(rate(container_network_receive_bytes_total{container!=""POD""}[1m])) by (pod)"
"Network Transmit Bytes per second for each pod","sum(rate(container_network_transmit_bytes_total{container!=""POD""}[1m])) by (pod)"
"Number of running containers per pod","sum by (pod) (kube_pod_container_status_running)"
"Number of waiting containers per pod","sum by (pod) (kube_pod_container_status_waiting)"
"Number of terminated containers per pod","sum by (pod) (kube_pod_container_status_terminated)"
"Filesystem usage per pod","sum(container_fs_usage_bytes{container!=""""}) by (pod)"
"CPU Throttle Time per pod","sum(rate(container_cpu_cfs_throttled_periods_total{container!=""""}[1m])) by (pod)"
"Desired vs. Available Replicas for all deployments","kube_deployment_status_replicas_available vs. kube_deployment_spec_replicas"
"ReplicaSet Rollout Status","kube_replicaset_status_replicas vs. kube_replicaset_spec_replicas"
"Recent Deployment Updates","changes(kube_deployment_status_replicas_updated[15m]) > 0"
"Deployment Age","time() - kube_deployment_created"
"ReplicaSet Age","time() - kube_replicaset_created"
"Average Unavailable Replicas across all deployments","avg(kube_deployment_status_replicas_unavailable)"
"Deployment Labels","kube_deployment_labels"
"ReplicaSet Labels","kube_replicaset_labels"
"Number of deployments per namespace","count by (namespace) (kube_deployment_metadata_generation)"
"Number of replicasets per namespace","count by (namespace) (kube_replicaset_metadata_generation)"
"Number of Ready Nodes","sum(kube_node_status_condition{condition=""Ready"",status=""true""})"
"Number of Not Ready Nodes","sum(kube_node_status_condition{condition=""Ready"",status=""false""})"
"Number of Active Namespaces","sum(kube_namespace_status_phase{phase=""Active""})"
"Number of Terminating Namespaces","sum(kube_namespace_status_phase{phase=""Terminating""})"
"Number of Bound Persistent Volume Claims per Namespace","sum(kube_persistentvolumeclaim_status_phase{phase=""Bound""}) by (namespace)"
"Number of Available Persistent Volumes","sum(kube_persistentvolume_status_phase{phase=""Available""})"
"Desired Replicas across all Horizontal Pod Autoscalers","sum(kube_horizontalpodautoscaler_status_desired_replicas)"
"Maximum Replicas allowed across all Horizontal Pod Autoscalers","sum(kube_horizontalpodautoscaler_spec_max_replicas)"
"Number of Failed Jobs","sum(kube_job_status_failed)"
"Number of Succeeded Jobs","sum(kube_job_status_succeeded)"
"99th Percentile API Latency over the last 5 minutes","histogram_quantile(0.99, sum(rate(http_request_duration_seconds_bucket[5m])) by (le))"
"95th Percentile Request Duration for /login over the last hour","histogram_quantile(0.95, sum(rate(http_request_duration_seconds_bucket{path="/login"}[1h])) by (le))"
"90th Percentile gRPC Call Time over the last 15 minutes","histogram_quantile(0.90, sum(rate(grpc_server_handling_seconds_bucket[15m])) by (le))"
"Average API latency over last 5m at 99th quantile per pod","avg(histogram_quantile(0.99, sum by(pod, le) (rate(http_request_duration_seconds_bucket[5m]))))"
"P99 of request duration over last 1 hour per service", "histogram_quantile(0.99, sum by (le, service) (rate(http_request_duration_seconds_bucket[1h])))"
"Max over time of the p99 of request duration (10s)", "max_over_time(histogram_quantile(0.99, sum by (le) (rate(http_request_duration_seconds_bucket[10s])))[5m:])"
"P99 of Memory Usage per Pod","quantile_over_time(0.99, container_memory_usage_bytes[5m])"
"P99 of Memory Usage per Node","histogram_quantile(0.99, sum(rate(node_memory_Active_bytes_bucket[5m])) by (le, instance))"
"P99 of Memory Usage per Namespace","quantile_over_time(0.99, container_memory_usage_bytes{namespace="" pod=""}[5m])"
"P50 of Memory Usage per Pod","histogram_quantile(0.50, sum(rate(container_memory_usage_bytes_bucket[5m])) by (le, pod))"  
"P99 of CPU Usage per Pod","quantile_over_time(0.99, container_cpu_usage_seconds_total{}[5m])"
"P95 of CPU usage per node over the last 1 hour","histogram_quantile(0.95, sum by (le, instance) (rate(node_cpu_seconds_total_bucket[1h])))"
