"question","answer"
"Pull an image from ECR.","`docker pull <account_id>.dkr.ecr.<region>.amazonaws.com/<repository-name>:<tag>`" // Pulls a Docker image from ECR
"List images in an ECR repository.","`aws ecr list-images --repository-name <repository-name>`"  // Lists images within a specific repository
"Describe an ECR repository.","`aws ecr describe-repositories --repository-names <repository-name>`" // Shows detailed information about a repository
"Delete an image from ECR.","`aws ecr batch-delete-image --repository-name <repository-name> --image-ids imageDigest=<image-digest>`" // Deletes a specific image from a repository
"Get ECR lifecycle policy.","`aws ecr get-lifecycle-policy --repository-name <repository-name>`" // Retrieves the lifecycle policy for a repository (for managing image expiration)
"Can you check ECR and how many repos dont have secret scanning enabled", "aws ecr describe-repositories --output json | jq '.repositories | map(select(.imageScanningConfiguration.scanOnPush == true))'"
"List repositories with tag t1 and value v1", "aws ecr describe-repositories --tag-status TAGGED --tag-key t1 --tag-value v1"
"Get detailed vulnerability information for a specific image.", "aws ecr describe-image-scan-findings --repository-name repository_name --image-id imageTag=your-image-tag"
"Get cost and usage report for last month.","`aws ce get-cost-and-usage --time-period Start=<start-date>,End=<end-date>`" // Replace <start-date> and <end-date> with YYYY-MM-DD
"Get cost forecast for next month.","`aws ce get-cost-forecast --time-period Start=<start-date>,End=<end-date> --metric <metric> --granularity <granularity>`"  // <metric> can be BLENDED_COST, UNBLENDED_COST, AMORTIZED_COST, NET_UNBLENDED_COST, NET_AMORTIZED_COST, or USAGE_QUANTITY.  <granularity> can be DAILY, MONTHLY, or HOURLY.
"List cost allocation tags.","`aws ce list-cost-allocation-tags`"
"Get cost and usage data by tag.","`aws ce get-cost-and-usage --time-period Start=<start-date>,End=<end-date> --metrics <metrics> --group-by Tag=<tag-key>`" // <metrics> are comma-separated (e.g. BlendedCost, UnblendedCost, UsageQuantity)
"Get cost and usage summary by service.","`aws ce get-cost-and-usage --time-period Start=<start-date>,End=<end-date> --metrics <metrics> --group-by DIMENSION=SERVICE`"
"Set up a budget alert.","`aws budgets create-budget`"
"View existing budgets.","`aws budgets describe-budgets`"
"View budget performance.","`aws budgets describe-budget-performance-history`"
"Get my current AWS cost and usage breakdown by service.","`aws ce get-cost-and-usage --time-period Start=<yesterday>,End=<today> --granularity DAILY --metrics BlendedCost --group-by DIMENSION=SERVICE`. Replace <yesterday> and <today> with YYYY-MM-DD, for example using the date command:  Start=`date -v -1d +%Y-%m-%d`,End=`date +%Y-%m-%d`. If you are using a different shell replace the backtick quoted date commands with similar commands in your shell language."
"Estimate AWS costs.", "`aws ce get-cost-forecast` (for future estimates), `aws ce get-cost-and-usage` (for past costs) "// Updated with get-cost-forecast
"Get Trusted Advisor cost optimization checks.","`aws support describe-trusted-advisor-checks --language en | jq '.checks[] | select(.category == \"cost_optimizing\")'`"
"Get Compute Optimizer recommendations for EC2.","`aws compute-optimizer get-ec2-instance-recommendations`"
"Get Compute Optimizer recommendations for Auto Scaling groups.","`aws compute-optimizer get-auto-scaling-group-recommendations`"
"Get Compute Optimizer recommendations for Lambda functions.","`aws compute-optimizer get-lambda-function-recommendations`"
"Get Compute Optimizer recommendations for EBS volumes.","`aws compute-optimizer get-ebs-volume-recommendations`"
"Get Security Hub findings.","`aws securityhub get-findings`"
"List GuardDuty findings.","`aws guardduty list-findings --detector-id <detector-id>`"
"List Inspector findings.","`aws inspector list-findings --assessment-run-arn <assessment-run-arn>`"
"Get EC2 instance status.","`aws ec2 describe-instances`"
"EC2 instance unreachable. Network troubleshooting?","`aws ec2 describe-network-interfaces`, `aws ec2 describe-security-groups`, `aws ec2 describe-network-acls`"
"Increase EBS volume size.","`aws ec2 modify-volume --volume-id <volume-id> --size <new-size>`"
"Make S3 bucket public.","`aws s3api put-bucket-acl --bucket <bucket-name> --acl public-read`"
"See Lambda function metrics.","`aws cloudwatch get-metric-statistics`"
"Extend Lambda timeout.","`aws lambda update-function-configuration --function-name <function-name> --timeout <new-timeout>`"
"Debug RDS connection problems.","`aws rds describe-db-instances`, `aws rds describe-db-security-groups`"
"Boost DynamoDB capacity.","`aws dynamodb update-table --table-name <table-name> --provisioned-throughput ...`"
"Show CloudWatch logs.","`aws logs get-log-events --log-group-name <log-group-name> --log-stream-name <log-stream-name>`"
"Create high-CPU alarm for EC2.","`aws cloudwatch put-metric-alarm`"
"Get IAM user details.","`aws iam get-user`"
"Grant S3 bucket access to another account.","`aws s3api put-bucket-policy`"
"Show CloudFormation events.","`aws cloudformation describe-stack-events --stack-name <stack-name>`"
"Update CloudFormation stack (new template).","`aws cloudformation update-stack --stack-name <stack-name> --template-body <template-body or template-url>`"
"Find EC2 instance's public IP.","`aws ec2 describe-instances` (parse output)"
"List S3 buckets.","`aws s3 ls`"
"Delete an S3 bucket.","`aws s3 rb s3://bucket-name --force`"
"Copy local file to S3.","`aws s3 cp localfile s3://bucket/remotefile`"
"Estimate AWS costs.","`aws ce get-cost-and-usage`"
"List all running EC2 instances.","`aws ec2 describe-instances --filters Name=instance-state-name,Values=running`"
"Stop an EC2 instance.","`aws ec2 stop-instances --instance-ids <instance-id>`"
"Start an EC2 instance.","`aws ec2 start-instances --instance-ids <instance-id>`"
"Terminate an EC2 instance.","`aws ec2 terminate-instances --instance-ids <instance-id>`"
"Create a new S3 bucket.","`aws s3 mb s3://bucket-name`"
"List objects in an S3 bucket.","`aws s3 ls s3://bucket-name`"
"Download an object from S3.","`aws s3 cp s3://bucket/object localfile`"
"Delete an object from S3.","`aws s3 rm s3://bucket/object`"
"Get Lambda function configuration.","`aws lambda get-function-configuration --function-name <function-name>`"
"Invoke a Lambda function.","`aws lambda invoke --function-name <function-name>`"
"List CloudWatch alarms.","`aws cloudwatch describe-alarms`"
"Delete a CloudWatch alarm.","`aws cloudwatch delete-alarms --alarm-names <alarm-name>`"
"List IAM users.","`aws iam list-users`"
"Create a new IAM user.","`aws iam create-user --user-name <user-name>`"
"Delete an IAM user.","`aws iam delete-user --user-name <user-name>`"
"List CloudFormation stacks.","`aws cloudformation describe-stacks`"
"Delete a CloudFormation stack.","`aws cloudformation delete-stack --stack-name <stack-name>`"
"Get the latest version of the AWS CLI.","Use your system's package manager (e.g., `pip install --upgrade awscli`)"
"Configure AWS CLI credentials.","`aws configure`"
"Get help on an AWS CLI command.","`aws <command> help`"
"List available AWS CLI commands.","`aws help`"
"View EC2 instance console output.","`aws ec2 get-console-output --instance-id <instance-id>`"
"Reboot an EC2 instance.","`aws ec2 reboot-instances --instance-ids <instance-id>`"
"Create a new security group.","`aws ec2 create-security-group`"
"Add an inbound rule to a security group.","`aws ec2 authorize-security-group-ingress`"
"Remove an inbound rule from a security group.","`aws ec2 revoke-security-group-ingress`"
"List DynamoDB tables.","`aws dynamodb list-tables`"
"Describe a DynamoDB table.","`aws dynamodb describe-table --table-name <table-name>`"
"Create a DynamoDB table.","`aws dynamodb create-table`"
"Delete a DynamoDB table.","`aws dynamodb delete-table --table-name <table-name>`"
"List available regions.","`aws ec2 describe-regions`"
"Change the default AWS region.","Modify the `AWS_DEFAULT_REGION` environment variable or use the `--region` option with CLI commands."
"List all available AWS services.","No single CLI command; check the AWS documentation."
"Get the ARN of a resource.","Use the appropriate `describe` or `list` command for the resource type."
"List CloudTrail events.","`aws cloudtrail lookup-events`"
"Enable CloudTrail logging.","`aws cloudtrail create-trail`"
"Check for updates to the AWS CLI.","Check your system's package manager (e.g., `pip list --outdated awscli`)"
"Get details of an S3 object.","`aws s3api head-object --bucket <bucket-name> --key <object-key>`"
"Change S3 object storage class.","`aws s3api copy-object --bucket <bucket-name> --copy-source <bucket-name>/<object-key> --key <object-key> --storage-class <storage-class>`"
"Generate a pre-signed URL for an S3 object.","`aws s3 presign s3://<bucket-name>/<object-key>`"
"Sync a local directory to S3.","`aws s3 sync localdir s3://bucket-name/remotedir`"
"List EC2 key pairs.","`aws ec2 describe-key-pairs`"
"Create an EC2 key pair.","`aws ec2 create-key-pair --key-name <key-name>`"
"Import an EC2 key pair.","`aws ec2 import-key-pair --key-name <key-name> --public-key-material <public-key-material>`"
"Delete an EC2 key pair.","`aws ec2 delete-key-pair --key-name <key-name>`"
"List EC2 security groups.","`aws ec2 describe-security-groups`"
"Delete a security group.","`aws ec2 delete-security-group --group-id <security-group-id>`"
"List EC2 instances with a specific tag.","`aws ec2 describe-instances --filters 'Name=tag:Name,Values=<tag-value>'`"
"Tag an EC2 instance.","`aws ec2 create-tags --resources <instance-id> --tags Key=Name,Value=<tag-value>`"
"Remove a tag from an EC2 instance.","`aws ec2 delete-tags --resources <instance-id> --tags Key=Name`"
"List subnets in a VPC.","`aws ec2 describe-subnets`"
"Create a subnet.","`aws ec2 create-subnet`"
"Delete a subnet.","`aws ec2 delete-subnet --subnet-id <subnet-id>`"
"List VPCs.","`aws ec2 describe-vpcs`"
"Create a VPC.","`aws ec2 create-vpc`"
"Delete a VPC.","`aws ec2 delete-vpc --vpc-id <vpc-id>`"
"List Lambda functions.","`aws lambda list-functions`"
"Create a Lambda function.","`aws lambda create-function`"
"Update Lambda function code.","`aws lambda update-function-code --function-name <function-name> --zip-file fileb://function.zip`"
"Delete a Lambda function.","`aws lambda delete-function --function-name <function-name>`"
"List RDS instances.","`aws rds describe-db-instances`"
"Create an RDS instance.","`aws rds create-db-instance`"
"Delete an RDS instance.","`aws rds delete-db-instance`"
"Get CloudWatch log insights.","`aws logs start-query`"
"List CloudWatch dashboards.","`aws cloudwatch list-dashboards`"
"Get details of a CloudWatch metric.","`aws cloudwatch get-metric-data`"
"List IAM groups.","`aws iam list-groups`"
"Create an IAM group.","`aws iam create-group --group-name <group-name>`"
"Add a user to an IAM group.","`aws iam add-user-to-group --group-name <group-name> --user-name <user-name>`"
"Delete an IAM group.","`aws iam delete-group --group-name <group-name>`"
"List IAM policies.","`aws iam list-policies`"
"Create an IAM policy.","`aws iam create-policy --policy-name <policy-name> --policy-document <policy-document>`"
"Attach an IAM policy to a user.","`aws iam attach-user-policy --user-name <user-name> --policy-arn <policy-arn>`"
"Detach an IAM policy from a user.","`aws iam detach-user-policy --user-name <user-name> --policy-arn <policy-arn>`"
"Delete an IAM policy.","`aws iam delete-policy --policy-arn <policy-arn>`"
"List DynamoDB tables in a specific region.","`aws dynamodb list-tables --region <region>`"
"List ECR repositories.","`aws ecr describe-repositories`"
"Create an ECR repository.","`aws ecr create-repository --repository-name <repository-name>`"
"Delete an ECR repository.","`aws ecr delete-repository --repository-name <repository-name>`"
"Push an image to ECR.","`docker tag <local-image>:<tag> <account_id>.dkr.ecr.<region>.amazonaws.com/<repository-name>:<tag>` followed by `docker push <account_id>.dkr.ecr.<region>.amazonaws.com/<repository-name>:<tag>`"
"Pull an image from ECR.","`docker pull <account_id>.dkr.ecr.<region>.amazonaws.com/<repository-name>:<tag>`"
"List images in an ECR repository.","`aws ecr list-images --repository-name <repository-name>`"
"Describe an ECR repository.","`aws ecr describe-repositories --repository-names <repository-name>`"
"Delete an image from ECR.","`aws ecr batch-delete-image --repository-name <repository-name> --image-ids imageDigest=<image-digest>`"
"Get ECR lifecycle policy.","`aws ecr get-lifecycle-policy --repository-name <repository-name>`"
"Can you check ECR and how many repos dont have secret scanning enabled", "aws ecr describe-repositories --output json | jq '.repositories | map(select(.imageScanningConfiguration.scanOnPush == true))'"
"List repositories with tag t1 and value v1", "aws ecr describe-repositories --tag-status TAGGED --tag-key t1 --tag-value v1"
"Get detailed vulnerability information for a specific image.", "aws ecr describe-image-scan-findings --repository-name repository_name --image-id imageTag=your-image-tag"
"Get cost and usage report for last month.","`aws ce get-cost-and-usage --time-period Start=<start-date>,End=<end-date>`"
"Get cost forecast for next month.","`aws ce get-cost-forecast --time-period Start=<start-date>,End=<end-date> --metric <metric> --granularity <granularity>`"
"List cost allocation tags.","`aws ce list-cost-allocation-tags`"
"Get cost and usage data by tag.","`aws ce get-cost-and-usage --time-period Start=<start-date>,End=<end-date> --metrics <metrics> --group-by Tag=<tag-key>`"
"Get cost and usage summary by service.","`aws ce get-cost-and-usage --time-period Start=<start-date>,End=<end-date> --metrics <metrics> --group-by DIMENSION=SERVICE`"
"Set up a budget alert.","`aws budgets create-budget`"
"View existing budgets.","`aws budgets describe-budgets`"
"View budget performance.","`aws budgets describe-budget-performance-history`"
"Get my current AWS cost and usage breakdown by service.","`aws ce get-cost-and-usage --time-period Start=<yesterday>,End=<today> --granularity DAILY --metrics BlendedCost --group-by DIMENSION=SERVICE`. Replace <yesterday> and <today> with YYYY-MM-DD, for example using the date command:  Start=`date -v -1d +%Y-%m-%d`,End=`date +%Y-%m-%d`. If you are using a different shell replace the backtick quoted date commands with similar commands in your shell language."
"Estimate AWS costs.", "`aws ce get-cost-forecast` (for future estimates), `aws ce get-cost-and-usage` (for past costs) "
"Get Trusted Advisor cost optimization checks.","`aws support describe-trusted-advisor-checks --language en | jq '.checks[] | select(.category == \"cost_optimizing\")'`"
"Get Compute Optimizer recommendations for EC2.","`aws compute-optimizer get-ec2-instance-recommendations`"
"Get Compute Optimizer recommendations for Auto Scaling groups.","`aws compute-optimizer get-auto-scaling-group-recommendations`"
"Get Compute Optimizer recommendations for Lambda functions.","`aws compute-optimizer get-lambda-function-recommendations`"
"Get Compute Optimizer recommendations for EBS volumes.","`aws compute-optimizer get-ebs-volume-recommendations`"
"Get Security Hub findings.","`aws securityhub get-findings`"
"List GuardDuty findings.","`aws guardduty list-findings --detector-id <detector-id>`"
"List Inspector findings.","`aws inspector list-findings --assessment-run-arn <assessment-run-arn>`"
"Get the current status of an ECS service.","`aws ecs describe-services --cluster <cluster-name> --services <service-name>`"
"List ECS clusters.","`aws ecs list-clusters`"
"Create an ECS cluster.","`aws ecs create-cluster --cluster-name <cluster-name>`"
"Delete an ECS cluster.","`aws ecs delete-cluster --cluster <cluster-name>`"
"List ECS tasks in a cluster.","`aws ecs list-tasks --cluster <cluster-name>`"
"Describe an ECS task.","`aws ecs describe-tasks --cluster <cluster-name> --tasks <task-id>`"
"Run a task in an ECS cluster.","`aws ecs run-task --cluster <cluster-name> --task-definition <task-definition-name>`"
"Stop an ECS task.","`aws ecs stop-task --cluster <cluster-name> --task <task-id>`"
"List ECS task definitions.","`aws ecs list-task-definitions`"
"Register a new ECS task definition.","`aws ecs register-task-definition --family <family-name> --container-definitions <container-definitions>`"
"Deregister an ECS task definition.","`aws ecs deregister-task-definition --task-definition <task-definition-name>`"
"Create an ECS service.","`aws ecs create-service --cluster <cluster-name> --service-name <service-name> --task-definition <task-definition-name>`"
"Update an ECS service.","`aws ecs update-service --cluster <cluster-name> --service <service-name> --task-definition <task-definition-name>`"
"Delete an ECS service.","`aws ecs delete-service --cluster <cluster-name> --service <service-name>`"
"Get the logs for an ECS task.","`aws logs get-log-events --log-group-name /ecs/<cluster-name>/<task-id> --log-stream-name <container-name>/<task-id>`"
"List all CloudFront distributions.","`aws cloudfront list-distributions`"
"Create a CloudFront distribution.","`aws cloudfront create-distribution --distribution-config <distribution-config>`"
"Get details of a CloudFront distribution.","`aws cloudfront get-distribution --id <distribution-id>`"
"Update a CloudFront distribution.","`aws cloudfront update-distribution --id <distribution-id> --distribution-config <distribution-config> --if-match <etag>`"
"Invalidate CloudFront cache.","`aws cloudfront create-invalidation --distribution-id <distribution-id> --paths /path/to/invalidate/*`"
"Get CloudFront distribution's domain name.","`aws cloudfront get-distribution --id <distribution-id> --query 'Distribution.DomainName' --output text`"
"List all Route 53 hosted zones.","`aws route53 list-hosted-zones`"
"Create a Route 53 hosted zone.","`aws route53 create-hosted-zone --name <domain-name> --caller-reference <unique-id>`"
"Delete a Route 53 hosted zone.","`aws route53 delete-hosted-zone --id <hosted-zone-id>`"
"List Route 53 record sets in a hosted zone.","`aws route53 list-resource-record-sets --hosted-zone-id <hosted-zone-id>`"
"Create a Route 53 record set.","`aws route53 change-resource-record-sets --hosted-zone-id <hosted-zone-id> --change-batch <change-batch-json>`"
"Delete a Route 53 record set.","`aws route53 change-resource-record-sets --hosted-zone-id <hosted-zone-id> --change-batch <change-batch-json>`"
"Get the status of a Route 53 change.","`aws route53 get-change --id <change-id>`"
"List all SQS queues.","`aws sqs list-queues`"
"Create an SQS queue.","`aws sqs create-queue --queue-name <queue-name>`"
"Delete an SQS queue.","`aws sqs delete-queue --queue-url <queue-url>`"
"Send a message to an SQS queue.","`aws sqs send-message --queue-url <queue-url> --message-body <message-body>`"
"Receive messages from an SQS queue.","`aws sqs receive-message --queue-url <queue-url>`"
"Delete a message from an SQS queue.","`aws sqs delete-message --queue-url <queue-url> --receipt-handle <receipt-handle>`"
"Get the approximate number of messages in an SQS queue.","`aws sqs get-queue-attributes --queue-url <queue-url> --attribute-names ApproximateNumberOfMessages`"
"List all SNS topics.","`aws sns list-topics`"
"Create an SNS topic.","`aws sns create-topic --name <topic-name>`"
"Delete an SNS topic.","`aws sns delete-topic --topic-arn <topic-arn>`"
"Publish a message to an SNS topic.","`aws sns publish --topic-arn <topic-arn> --message <message>`"
"Subscribe an endpoint to an SNS topic.","`aws sns subscribe --topic-arn <topic-arn> --protocol <protocol> --notification-endpoint <endpoint>`"
"Unsubscribe an endpoint from an SNS topic.","`aws sns unsubscribe --subscription-arn <subscription-arn>`"
"List SNS subscriptions.","`aws sns list-subscriptions`"
"List all API Gateway REST APIs.","`aws apigateway get-rest-apis`"
"Create an API Gateway REST API.","`aws apigateway create-rest-api --name <api-name>`"
"Get details of an API Gateway REST API.","`aws apigateway get-rest-api --rest-api-id <api-id>`"
"Delete an API Gateway REST API.","`aws apigateway delete-rest-api --rest-api-id <api-id>`"
"Create a resource in an API Gateway REST API.","`aws apigateway create-resource --rest-api-id <api-id> --parent-id <parent-id> --path-part <path-part>`"
"Create a method for a resource in an API Gateway REST API.","`aws apigateway put-method --rest-api-id <api-id> --resource-id <resource-id> --http-method <http-method> --authorization-type <authorization-type>`"
"Deploy an API Gateway REST API.","`aws apigateway create-deployment --rest-api-id <api-id> --stage-name <stage-name>`"
"List API Gateway stages.","`aws apigateway get-stages --rest-api-id <api-id>`"
"Get API Gateway stage details.","`aws apigateway get-stage --rest-api-id <api-id> --stage-name <stage-name>`"
"Delete API Gateway stage.","`aws apigateway delete-stage --rest-api-id <api-id> --stage-name <stage-name>`"
"List all Kinesis data streams.","`aws kinesis list-streams`"
"Create a Kinesis data stream.","`aws kinesis create-stream --stream-name <stream-name> --shard-count <shard-count>`"
"Delete a Kinesis data stream.","`aws kinesis delete-stream --stream-name <stream-name>`"
"Put a record into a Kinesis data stream.","`aws kinesis put-record --stream-name <stream-name> --data <data> --partition-key <partition-key>`"
"Get records from a Kinesis data stream.","`aws kinesis get-records --shard-iterator <shard-iterator>`"
"Get a shard iterator for a Kinesis data stream.","`aws kinesis get-shard-iterator --stream-name <stream-name> --shard-id <shard-id> --shard-iterator-type <shard-iterator-type>`"
"Describe a Kinesis data stream.","`aws kinesis describe-stream --stream-name <stream-name>`"
"List all CodeCommit repositories.","`aws codecommit list-repositories`"
"Create a CodeCommit repository.","`aws codecommit create-repository --repository-name <repository-name>`"
"Delete a CodeCommit repository.","`aws codecommit delete-repository --repository-name <repository-name>`"
"Get the clone URL for a CodeCommit repository.","`aws codecommit get-repository --repository-name <repository-name> --query 'repositoryMetadata.cloneUrlHttp' --output text`"
"List branches in a CodeCommit repository.","`aws codecommit list-branches --repository-name <repository-name>`"
"Get the commit details for a CodeCommit repository.","`aws codecommit get-commit --repository-name <repository-name> --commit-id <commit-id>`"
"List all CodeBuild projects.","`aws codebuild list-projects`"
"Create a CodeBuild project.","`aws codebuild create-project --name <project-name> --source <source-config> --artifacts <artifacts-config> --environment <environment-config> --service-role <service-role-arn>`"
"Delete a CodeBuild project.","`aws codebuild delete-project --name <project-name>`"
"Start a CodeBuild build.","`aws codebuild start-build --project-name <project-name>`"
"Get details of a CodeBuild build.","`aws codebuild batch-get-builds --ids <build-id>`"
"List all CodeDeploy applications.","`aws codedeploy list-applications`"
"Create a CodeDeploy application.","`aws codedeploy create-application --application-name <application-name>`"
"Delete a CodeDeploy application.","`aws codedeploy delete-application --application-name <application-name>`"
"List deployments for a CodeDeploy application.","`aws codedeploy list-deployments --application-name <application-name>`"
"Create a CodeDeploy deployment.","`aws codedeploy create-deployment --application-name <application-name> --deployment-group-name <deployment-group-name> --revision <revision-location>`"
"Get details of a CodeDeploy deployment.","`aws codedeploy get-deployment --deployment-id <deployment-id>`"
"List CodeDeploy deployment groups.","`aws codedeploy list-deployment-groups --application-name <application-name>`"
