18854:
 num     #instances         #bytes  class name (module)
  73:           229          18320  com.google.protobuf.Descriptors$FieldDescriptor
  74:          1136          18176  [Lnet.bytebuddy.description.type.TypeVariableToken;
  75:           726          17424  java.util.Collections$SingletonList (java.base@21.0.6)
  76:           267          17088  java.security.Provider$Service (java.base@21.0.6)
  77:           710          17040  net.bytebuddy.agent.builder.AgentBuilder$Transformer$ForAdvice$Entry$ForUnifiedAdvice
  78:           705          16920  java.security.Provider$ServiceKey (java.base@21.0.6)
  79:          1053          16848  java.util.concurrent.locks.ReentrantLock (java.base@21.0.6)
  80:           230          16560  com.google.protobuf.DescriptorProtos$FieldDescriptorProto
  81:           105          16504  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.6)
  82:           408          16320  java.math.BigInteger (java.base@21.0.6)
  83:           396          15840  net.bytebuddy.description.type.TypeDescription$ForLoadedType
  84:           487          15584  net.bytebuddy.asm.Advice$WithCustomMapping
  85:           641          15384  net.bytebuddy.matcher.CollectionElementMatcher
  86:           320          15360  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
  87:           638          15312  io.opentelemetry.javaagent.shaded.instrumentation.api.internal.cache.weaklockfree.WeakConcurrentMap$WithInlinedExpunction
  88:           638          15312  net.bytebuddy.agent.builder.AgentBuilder$Default$Transformation
  89:           636          15264  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.6)
  90:           378          15120  io.opentelemetry.javaagent.tooling.HelperInjector
  91:           301          14896  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.6)
  92:           455          14560  io.opentelemetry.javaagent.tooling.muzzle.references.FieldRef
  93:           296          14208  java.lang.invoke.LambdaForm (java.base@21.0.6)
  94:           587          14088  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.6)
  95:           871          13936  net.bytebuddy.matcher.MethodParametersMatcher
  96:           852          13632  net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Delegator$Simple
  97:           852          13632  net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$ForOwnerType
  98:           166          13584  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.6)
  99:           328          13120  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.6)
 100:           327          13080  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.6)
 101:             4          12352  [Ljava.nio.ByteBuffer; (java.base@21.0.6)
 102:           766          12256  net.bytebuddy.matcher.ErasureMatcher
 103:           759          12144  net.bytebuddy.dynamic.ClassFileLocator$Compound
 104:           495          11880  io.opentelemetry.javaagent.tooling.instrumentation.InstrumentationModuleInstaller$$Lambda/0x00007f5a8e253c50
 105:           487          11688  net.bytebuddy.asm.Advice$AssignReturned$Factory
 106:            20          11680  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 107:           357          11424  io.netty.util.AsciiString
 108:           712          11392  net.bytebuddy.matcher.LatentMatcher$Resolved
 109:           685          10960  net.bytebuddy.matcher.ElementMatcher$Junction$Disjunction
 110:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.6)
 111:           170          10880  java.net.URL (java.base@21.0.6)
 112:           221          10608  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.6)
 113:           264          10560  sun.security.util.KnownOIDs (java.base@21.0.6)
 114:           654          10464  net.bytebuddy.matcher.MethodParameterTypesMatcher
 115:           426          10224  net.bytebuddy.description.annotation.AnnotationList$Explicit
 116:           638          10208  io.opentelemetry.javaagent.shaded.instrumentation.api.internal.cache.WeakLockFreeCache
 117:           637          10192  io.opentelemetry.javaagent.tooling.util.IgnoreFailedTypeMatcher
 118:           637          10192  net.bytebuddy.agent.builder.AgentBuilder$RawMatcher$Conjunction
 119:           123          10128  [J (java.base@21.0.6)
 120:           251          10040  net.bytebuddy.pool.TypePool$Default$LazyTypeDescription$FieldToken
 121:           312           9984  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 122:           246           9840  io.opentelemetry.javaagent.tooling.instrumentation.MuzzleMatcher
 123:           609           9744  java.util.concurrent.atomic.AtomicBoolean (java.base@21.0.6)
 124:            92           9568  java.util.jar.JarFile$JarFileEntry (java.base@21.0.6)
 125:           193           9264  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.6)
 126:           385           9240  io.opentelemetry.javaagent.extension.matcher.ClassLoaderHasClassesNamedMatcher
 127:            67           9112  sun.nio.fs.UnixFileAttributes (java.base@21.0.6)
 128:           284           9088  net.bytebuddy.description.field.FieldDescription$Token
 129:           284           9088  net.bytebuddy.dynamic.DynamicType$Default$Unloaded
 130:           281           8992  java.lang.invoke.MethodTypeForm (java.base@21.0.6)
 131:           374           8976  java.util.ImmutableCollections$Set12 (java.base@21.0.6)
 132:            25           8720  [Lio.netty.buffer.PoolSubpage;
 133:           208           8320  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@21.0.6)
 134:           518           8288  java.util.HashSet (java.base@21.0.6)
 135:           110           7920  java.lang.reflect.Constructor (java.base@21.0.6)
 136:            55           7800  [Ljava.lang.ClassValue$Entry; (java.base@21.0.6)
 137:           487           7792  io.opentelemetry.javaagent.tooling.instrumentation.indy.ForceDynamicallyTypedAssignReturnedFactory
 138:           487           7792  net.bytebuddy.asm.Advice$AssignReturned$ExceptionHandler$Factory$Enabled
 139:           487           7792  net.bytebuddy.asm.Advice$PostProcessor$Factory$Compound
 140:            93           7440  java.net.URI (java.base@21.0.6)
 141:           226           7232  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
 142:            64           7168  net.bytebuddy.pool.TypePool$Default$LazyTypeDescription
 143:           429           6864  java.lang.Integer (java.base@21.0.6)
 144:           284           6816  io.opentelemetry.javaagent.tooling.BytecodeWithUrl$ForDynamicType
 145:           277           6648  io.opentelemetry.javaagent.extension.matcher.SafeHasSuperTypeMatcher
 146:           267           6408  java.lang.Long (java.base@21.0.6)
 147:            13           6368  [Ljava.util.concurrent.atomic.AtomicReference; (java.base@21.0.6)
 148:           256           6144  io.opentelemetry.api.trace.ImmutableTraceFlags
 149:           256           6144  io.opentelemetry.javaagent.shaded.io.opentelemetry.api.trace.ImmutableTraceFlags
 150:            94           6016  java.lang.module.ModuleDescriptor (java.base@21.0.6)
 151:            94           6016  java.util.zip.Inflater (java.base@21.0.6)
 152:           247           5928  java.security.Provider$UString (java.base@21.0.6)
 153:           148           5920  io.opentelemetry.sdk.internal.RateLimiter
 154:           185           5920  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.6)
 155:           185           5920  java.lang.ref.ReferenceQueue (java.base@21.0.6)
 156:           145           5800  java.util.WeakHashMap$Entry (java.base@21.0.6)
 157:           120           5760  io.netty.buffer.PoolChunkList
 158:            10           5760  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 159:           230           5520  com.google.protobuf.ByteString$LiteralByteString
 160:           342           5472  io.opentelemetry.javaagent.tooling.field.FieldBackedImplementationInstaller$$Lambda/0x00007f5a8e12eab0
 161:           226           5424  org.apache.logging.log4j.core.config.plugins.util.PluginType
 162:           112           5376  java.util.WeakHashMap (java.base@21.0.6)
 163:            67           5360  java.util.zip.ZipFile$Source (java.base@21.0.6)
 164:           220           5280  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.6)
 165:           328           5248  java.lang.Character$UnicodeBlock (java.base@21.0.6)
 166:           216           5184  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.6)
 167:           216           5184  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.6)
 168:            91           5096  jdk.internal.module.ModuleReferenceImpl (java.base@21.0.6)
 169:           212           5088  java.util.concurrent.atomic.AtomicLong (java.base@21.0.6)
 170:           307           4912  io.opentelemetry.javaagent.extension.matcher.SafeErasureMatcher
 171:           201           4824  java.util.ImmutableCollections$SetN (java.base@21.0.6)
 172:           200           4800  io.opentelemetry.javaagent.tooling.field.VirtualFieldFindRewriter
 173:            97           4656  java.util.logging.LogManager$LoggerWeakRef (java.logging@21.0.6)
 174:           277           4432  java.util.Collections$UnmodifiableSet (java.base@21.0.6)
 175:           109           4360  io.opentelemetry.javaagent.shaded.instrumentation.api.internal.cache.weaklockfree.AbstractWeakConcurrentMap$WeakKey
 176:            90           4320  com.google.protobuf.DescriptorProtos$EnumValueDescriptorProto
 177:            54           4320  com.google.protobuf.Descriptors$Descriptor
 178:           176           4224  java.lang.ProcessEnvironment$Value (java.base@21.0.6)
 179:           176           4224  java.lang.ProcessEnvironment$Variable (java.base@21.0.6)
 180:           104           4160  java.io.ObjectStreamField (java.base@21.0.6)
 181:             1           4112  [Lorg.apache.commons.collections4.map.AbstractHashedMap$HashEntry;
 182:           256           4096  io.opentelemetry.javaagent.instrumentation.opentelemetryapi.trace.BridgedTraceFlags
 183:           256           4096  java.lang.Byte (java.base@21.0.6)
 184:           256           4096  java.lang.Short (java.base@21.0.6)
 185:            83           3984  io.opentelemetry.sdk.metrics.internal.data.MutableLongPointData
 186:            55           3960  com.google.protobuf.DescriptorProtos$DescriptorProto
 187:           246           3936  io.opentelemetry.javaagent.tooling.HelperInjector$$Lambda/0x00007f5a8e252ac8
 188:            69           3864  java.io.FileCleanable (java.base@21.0.6)
 189:           110           3840  [Lcom.google.protobuf.Descriptors$FieldDescriptor;
 190:            68           3808  java.util.jar.JarFile (java.base@21.0.6)
 191:            76           3648  io.opentelemetry.sdk.metrics.internal.exemplar.ReservoirCell
 192:           228           3648  net.bytebuddy.matcher.EqualityMatcher
 193:           151           3624  java.util.ImmutableCollections$List12 (java.base@21.0.6)
 194:            89           3560  com.google.protobuf.Descriptors$EnumValueDescriptor
 195:           108           3456  io.opentelemetry.exporter.internal.marshal.AutoValue_ProtoFieldInfo
 196:            54           3456  java.lang.ClassValue$ClassValueMap (java.base@21.0.6)
 197:           214           3424  net.bytebuddy.matcher.CollectionSizeMatcher
 198:           142           3408  io.opentelemetry.javaagent.tooling.field.FieldBackedImplementationInstaller$$Lambda/0x00007f5a8e12d178
 199:           142           3408  io.opentelemetry.javaagent.tooling.field.RealFieldInjector
 200:           142           3408  java.util.AbstractMap$SimpleImmutableEntry (java.base@21.0.6)
 201:           142           3408  net.bytebuddy.description.type.TypeList$Explicit
 202:           142           3408  net.bytebuddy.description.type.TypeList$ForLoadedTypes
 203:           140           3360  io.netty.buffer.IntPriorityQueue
 204:            60           3360  java.lang.Module (java.base@21.0.6)
 205:           135           3240  java.util.ArrayDeque (java.base@21.0.6)
 206:            67           3216  jdk.internal.loader.URLClassPath$JarLoader (java.base@21.0.6)
 207:            66           3168  io.opentelemetry.javaagent.tooling.field.FieldBackedImplementationInstaller
 208:           132           3168  io.opentelemetry.javaagent.tooling.field.FieldBackedImplementationInstaller$1
 209:           192           3072  java.util.HashMap$EntrySet (java.base@21.0.6)
 210:            76           3040  java.util.TreeMap$Entry (java.base@21.0.6)
 211:           125           3000  io.netty.handler.codec.http2.HpackHeaderField
 212:            75           3000  java.io.FileDescriptor (java.base@21.0.6)
 213:            93           2976  io.opentelemetry.javaagent.shaded.io.opentelemetry.api.internal.InternalAttributeKeyImpl
 214:            91           2912  java.util.zip.ZipFile$CleanableResource (java.base@21.0.6)
 215:           176           2816  io.opentelemetry.javaagent.tooling.HelperInjector$$Lambda/0x00007f5a8e1a65a0
 216:           176           2816  io.opentelemetry.javaagent.tooling.HelperInjector$HelperClassInjector
 217:            87           2784  io.netty.util.internal.LongAdderCounter
 218:           116           2784  java.util.Collections$SetFromMap (java.base@21.0.6)
 219:           168           2688  java.util.HashMap$Values (java.base@21.0.6)
 220:            67           2680  java.io.RandomAccessFile (java.base@21.0.6)
 221:           110           2640  java.lang.Class$AnnotationData (java.base@21.0.6)
 222:            22           2640  java.lang.Thread (java.base@21.0.6)
 223:            66           2640  java.lang.invoke.DirectMethodHandle$Special (java.base@21.0.6)
 224:            47           2632  java.util.logging.Logger (java.logging@21.0.6)
 225:           106           2544  io.opentelemetry.javaagent.shaded.io.opentelemetry.api.common.ArrayBackedAttributes
 226:            53           2544  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.6)
 227:           157           2512  java.util.HashMap$KeySet (java.base@21.0.6)
 228:           104           2496  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.6)
 229:            62           2480  java.security.ProtectionDomain (java.base@21.0.6)
 230:           103           2472  [[C (java.base@21.0.6)
 231:            76           2432  net.bytebuddy.description.method.MethodDescription$ForLoadedMethod
 232:            75           2400  java.io.File (java.base@21.0.6)
 233:            60           2400  java.security.CodeSource (java.base@21.0.6)
 234:            74           2368  io.opentelemetry.sdk.internal.ThrottlingLogger
 235:            49           2352  io.opentelemetry.javaagent.tooling.muzzle.AgentCachingPoolStrategy$AgentTypePool
 236:            16           2304  [Ljava.lang.invoke.MemberName; (java.base@21.0.6)
 237:           142           2272  [Lnet.bytebuddy.description.type.RecordComponentDescription$Token;
 238:            94           2256  java.util.zip.Inflater$InflaterZStreamRef (java.base@21.0.6)
 239:            91           2184  jdk.internal.module.SystemModuleFinders$2 (java.base@21.0.6)
 240:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@21.0.6)
 241:            54           2160  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 242:            30           2160  java.lang.reflect.Field (java.base@21.0.6)
 243:            90           2160  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@21.0.6)
 244:            53           2120  sun.security.util.NamedCurve (java.base@21.0.6)
 245:            88           2112  io.opentelemetry.javaagent.bootstrap.PatchLogger
 246:           132           2112  io.opentelemetry.javaagent.tooling.HelperInjector$$Lambda/0x00007f5a8e1210c8
 247:            66           2112  java.util.logging.LogManager$LogNode (java.logging@21.0.6)
 248:            87           2088  io.opentelemetry.javaagent.slf4j.simple.SimpleLogger
 249:            87           2088  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.6)
 250:            26           2080  [Ljava.util.ArrayList; (java.base@21.0.6)
 251:            52           2080  java.lang.invoke.DirectMethodHandle$Interface (java.base@21.0.6)
 252:             1           2064  [Lio.netty.handler.codec.http2.HpackStaticTable$HeaderNameIndex;
 253:            64           2048  io.opentelemetry.javaagent.shaded.instrumentation.api.internal.cache.concurrentlinkedhashmap.ConcurrentLinkedHashMap$Node
 254:            64           2048  io.opentelemetry.javaagent.tooling.muzzle.AgentCachingPoolStrategy$TypeCacheKey
 255:           128           2048  java.lang.Character (java.base@21.0.6)
 256:            85           2040  java.lang.Double (java.base@21.0.6)
 257:            63           2016  java.lang.ClassValue$Entry (java.base@21.0.6)
 258:            84           2016  java.lang.module.ResolvedModule (java.base@21.0.6)
 259:           126           2016  net.bytebuddy.matcher.StringSetMatcher
 260:            50           2000  java.lang.invoke.VarHandle$AccessDescriptor (java.base@21.0.6)
 261:            49           1960  java.util.Collections$SingletonMap (java.base@21.0.6)
 262:            49           1960  org.apache.logging.log4j.core.Logger$PrivateConfig
 263:           104           1920  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.6)
 264:            48           1920  java.util.logging.Logger$ConfigurationData (java.logging@21.0.6)
 265:           119           1904  okhttp3.CipherSuite
 266:           118           1888  net.bytebuddy.matcher.MethodReturnTypeMatcher
 267:            54           1880  [Lcom.google.protobuf.GeneratedMessage$FieldAccessorTable$FieldAccessor;
 268:            29           1856  java.nio.DirectByteBuffer (java.base@21.0.6)
 269:            77           1848  java.util.ImmutableCollections$ListN (java.base@21.0.6)
 270:            46           1840  io.netty.handler.codec.http2.HpackEncoder$NameValueEntry
 271:            57           1824  io.netty.handler.codec.http.HttpResponseStatus
 272:            75           1800  io.netty.util.Recycler$DefaultHandle
 273:            20           1760  java.util.regex.Pattern (java.base@21.0.6)
 274:            73           1752  java.lang.module.ModuleDescriptor$Provides (java.base@21.0.6)
 275:            72           1728  java.util.regex.Pattern$BmpCharProperty (java.base@21.0.6)
 276:            53           1696  java.security.spec.EllipticCurve (java.base@21.0.6)
 277:            53           1696  sun.security.util.ObjectIdentifier (java.base@21.0.6)
 278:            23           1656  sun.net.www.protocol.jar.URLJarFile (java.base@21.0.6)
 279:            16           1632  [D (java.base@21.0.6)
 280:           102           1632  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.6)
 281:            67           1608  java.util.zip.ZipFile$Source$Key (java.base@21.0.6)
 282:            16           1600  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 283:            69           1600  [Ljava.lang.reflect.Type; (java.base@21.0.6)
 284:            50           1600  io.netty.channel.ChannelOption
 285:           100           1600  net.bytebuddy.agent.builder.AgentBuilder$CircularityLock$WithInnerClassLoadingLock$TrivialLock
 286:            33           1584  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.6)
 287:            49           1568  org.apache.logging.log4j.core.Logger
 288:            48           1536  io.netty.handler.codec.CodecOutputList
 289:            64           1536  io.opentelemetry.javaagent.shaded.instrumentation.api.internal.cache.concurrentlinkedhashmap.ConcurrentLinkedHashMap$WeightedValue
 290:            32           1536  java.lang.StackTraceElement (java.base@21.0.6)
 291:            24           1536  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@21.0.6)
 292:             1           1528  [Ljava.lang.Character$UnicodeBlock; (java.base@21.0.6)
 293:            47           1504  io.netty.util.internal.logging.Log4J2Logger
 294:            62           1488  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21.0.6)
 295:            40           1472  [Lcom.google.protobuf.Descriptors$EnumValueDescriptor;
 296:            92           1472  java.util.WeakHashMap$KeySet (java.base@21.0.6)
 297:            46           1472  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.6)
 298:            30           1440  java.time.temporal.ChronoField (java.base@21.0.6)
 299:            30           1440  java.time.temporal.ValueRange (java.base@21.0.6)
 300:            90           1440  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.6)
 301:            88           1408  io.opentelemetry.javaagent.logging.simple.Slf4jSimpleLogger
 302:            88           1408  net.bytebuddy.ClassFileVersion
 303:            35           1400  java.util.IdentityHashMap (java.base@21.0.6)
 304:             1           1392  [[B (java.base@21.0.6)
 305:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@21.0.6)
 306:            19           1368  com.google.protobuf.DescriptorProtos$FieldOptions
 307:            34           1360  java.security.AccessControlContext (java.base@21.0.6)
 308:            85           1360  jdk.internal.module.SystemModuleFinders$3 (java.base@21.0.6)
 309:            42           1344  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@21.0.6)
 310:            21           1344  org.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedFormat
 311:            54           1296  java.security.spec.ECPoint (java.base@21.0.6)
 312:            54           1296  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21.0.6)
 313:            20           1280  com.google.protobuf.Descriptors$EnumDescriptor
 314:            32           1280  java.lang.Thread$FieldHolder (java.base@21.0.6)
 315:            53           1272  java.lang.RuntimePermission (java.base@21.0.6)
 316:            79           1264  java.lang.ThreadLocal (java.base@21.0.6)
 317:            26           1248  com.google.protobuf.SmallSortedMap$1
 318:            52           1248  io.netty.handler.codec.http2.HpackStaticTable$HeaderNameIndex
 319:            38           1216  com.google.protobuf.GeneratedMessage$FieldAccessorTable
 320:            38           1184  [Ljava.math.BigInteger; (java.base@21.0.6)
 321:            21           1176  com.google.protobuf.DescriptorProtos$EnumDescriptorProto
 322:            49           1176  java.security.Permissions (java.base@21.0.6)
 323:            24           1152  io.opentelemetry.sdk.metrics.internal.descriptor.AutoValue_InstrumentDescriptor
 324:            24           1152  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.6)
 325:            24           1152  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@21.0.6)
 326:            18           1152  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@21.0.6)
 327:            13           1144  io.netty.buffer.PooledUnsafeDirectByteBuf
 328:            47           1128  sun.security.util.LazyCodeSourcePermissionCollection (java.base@21.0.6)
 329:             1           1112  [Lsun.security.util.KnownOIDs; (java.base@21.0.6)
 330:            23           1104  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@21.0.6)
 331:            46           1104  java.lang.invoke.Invokers (java.base@21.0.6)
 332:            67           1072  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@21.0.6)
 333:            66           1056  io.opentelemetry.javaagent.tooling.field.FieldAccessorInterfaces
 334:            66           1056  io.opentelemetry.javaagent.tooling.field.VirtualFieldImplementations
 335:            66           1056  io.opentelemetry.javaagent.tooling.muzzle.VirtualFieldMappings
 336:            33           1056  sun.reflect.generics.repository.ClassRepository (java.base@21.0.6)
 337:             1           1040  [Lio.opentelemetry.api.trace.ImmutableTraceFlags;
 338:             1           1040  [Lio.opentelemetry.javaagent.instrumentation.opentelemetryapi.trace.BridgedTraceFlags;
 339:             1           1040  [Lio.opentelemetry.javaagent.shaded.io.opentelemetry.api.trace.ImmutableTraceFlags;
 340:             1           1040  [Ljava.lang.Byte; (java.base@21.0.6)
 341:             1           1040  [Ljava.lang.Integer; (java.base@21.0.6)
 342:             1           1040  [Ljava.lang.Long; (java.base@21.0.6)
 343:             1           1040  [Ljava.lang.Short; (java.base@21.0.6)
 344:            10           1040  io.netty.buffer.PoolArena$DirectArena
 345:            10           1040  io.netty.buffer.PoolArena$HeapArena
 346:            65           1040  net.bytebuddy.pool.TypePool$Resolution$Simple
 347:            43           1032  java.util.regex.Pattern$$Lambda/0x80000002a (java.base@21.0.6)
 348:            32           1024  java.util.concurrent.atomic.LongAdder (java.base@21.0.6)
 349:            42           1008  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@21.0.6)
 350:            62            992  [Ljava.security.Principal; (java.base@21.0.6)
 351:            31            992  io.opentelemetry.sdk.trace.data.AutoValue_ImmutableEventData
 352:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@21.0.6)
 353:            62            992  java.security.ProtectionDomain$Key (java.base@21.0.6)
 354:            24            960  java.lang.ref.Finalizer (java.base@21.0.6)
 355:            40            960  jdk.internal.module.ModuleReferenceImpl$CachedHash (java.base@21.0.6)
 356:            39            936  io.opentelemetry.sdk.metrics.internal.state.ArrayBasedStack
 357:            39            936  io.opentelemetry.sdk.metrics.internal.state.ObjectPool
